chain,gene_type,allele,novel,AFR,AMR,EAS,EUR,MIXED,SAS
IGH,IGHV,IGHV1-6QKX*06,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*07,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-6QKX*08,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*09,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-6QKX*10,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
IGH,IGHV,IGHV1-7CVC*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-7CVC*02,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-7CVC*03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-7CVC*04,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-7CVC*05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-7CVC*06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-7EIU*01,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-7EIU*02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-7EIU*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-7EIU*04,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-7EIU*05,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-7EIU*06,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-7EIU*07,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-7EIU*08,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-BEMW*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-BEMW*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-BEMW*03,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IGH,IGHV,IGHV1-BEMW*04,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-BEMW*05,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-BEMW*07,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-D5ET*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-D5ET*02,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-D5ET*03,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-D5ET*04,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-GASB*01,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-GASB*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IGH,IGHV,IGHV1-GASB*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-GASB*04,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-GASB*05,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-IOYO*01,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-IOYO*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-IOYO*03,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
IGH,IGHV,IGHV1-IOYO*04,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-IOYO*05,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-IQ67*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-IQ67*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-IQ67*04,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-IQ67*05,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-IQ67*06,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-IQ67*07,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-PBWN*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-PBWN*02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-PBWN*03,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
IGH,IGHV,IGHV1-PBWN*04,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-PBWN*05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-PBWN*06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV2-4BCH*02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*03,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*04,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*07,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IGH,IGHV,IGHV2-4BCH*10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHV,IGHV2-4BCH*100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*101,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*102,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*103,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV2-4BCH*104,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*105,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*106,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*107,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*108,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*109,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*13,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV2-4BCH*14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*15,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
IGH,IGHV,IGHV2-4BCH*16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV2-4BCH*17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*18,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*19,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*23,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*24,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*28,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*29,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*31,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*32,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV2-4BCH*33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV2-4BCH*34,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
