locus,ancestry_population,Sample1,Sample2,jaccard_distance,overlap_coefficient
IGH,EUR,P28_I125_S1,P28_I130_S1,0.307017543859649,0.840425531914894
IGH,EUR,P28_I126_S1,P28_I130_S1,0.388888888888889,0.819148936170213
IGH,EUR,P28_I127_S1,P28_I130_S1,0.395161290322581,0.797872340425532
IGH,EUR,P28_I128_S1,P28_I130_S1,0.439655172413793,0.747126436781609
IGH,EUR,P28_I129_S1,P28_I130_S1,0.470588235294118,0.715909090909091
IGH,EUR,P28_I12_S1,P28_I130_S1,0.403361344537815,0.75531914893617
IGH,EUR,P28_I100_S1,P28_I131_S1,0.347457627118644,0.846153846153846
IGH,EUR,P28_I101_S1,P28_I131_S1,0.469026548672566,0.731707317073171
IGH,EUR,P28_I107_S1,P28_I131_S1,0.410714285714286,0.758620689655172
IGH,EUR,P28_I109_S1,P28_I131_S1,0.470588235294118,0.692307692307692
IGH,EUR,P28_I10_S1,P28_I131_S1,0.473684210526316,0.769230769230769
IGH,EUR,P28_I116_S1,P28_I131_S1,0.300884955752212,0.868131868131868
IGH,EUR,P28_I117_S1,P28_I131_S1,0.393162393162393,0.78021978021978
IGH,EUR,P28_I118_S1,P28_I131_S1,0.353982300884956,0.802197802197802
IGH,EUR,P28_I119_S1,P28_I131_S1,0.429824561403509,0.738636363636364
IGH,EUR,P28_I120_S1,P28_I131_S1,0.419354838709677,0.791208791208791
IGH,EUR,P28_I123_S1,P28_I131_S1,0.422413793103448,0.736263736263736
IGH,EUR,P28_I124_S1,P28_I131_S1,0.350877192982456,0.813186813186813
IGH,EUR,P28_I125_S1,P28_I131_S1,0.362068965517241,0.813186813186813
IGH,EUR,P28_I126_S1,P28_I131_S1,0.360655737704918,0.857142857142857
IGH,EUR,P28_I127_S1,P28_I131_S1,0.40650406504065,0.802197802197802
IGH,EUR,P28_I128_S1,P28_I131_S1,0.504201680672269,0.67816091954023
IGH,EUR,P28_I129_S1,P28_I131_S1,0.401785714285714,0.761363636363636
IGH,EUR,P28_I12_S1,P28_I131_S1,0.415254237288136,0.758241758241758
IGH,EUR,P28_I130_S1,P28_I131_S1,0.302752293577982,0.835164835164835
IGH,EUR,P28_I100_S1,P28_I132_S1,0.384,0.785714285714286
IGH,EUR,P28_I101_S1,P28_I132_S1,0.285714285714286,0.914634146341463
IGH,EUR,P28_I107_S1,P28_I132_S1,0.405172413793103,0.793103448275862
IGH,EUR,P28_I109_S1,P28_I132_S1,0.370689655172414,0.802197802197802
IGH,EUR,P28_I10_S1,P28_I132_S1,0.432835820895522,0.775510204081633
IGH,EUR,P28_I116_S1,P28_I132_S1,0.28448275862069,0.846938775510204
IGH,EUR,P28_I117_S1,P28_I132_S1,0.361344537815126,0.783505154639175
IGH,EUR,P28_I118_S1,P28_I132_S1,0.307017543859649,0.831578947368421
IGH,EUR,P28_I119_S1,P28_I132_S1,0.194174757281553,0.943181818181818
IGH,EUR,P28_I120_S1,P28_I132_S1,0.473684210526316,0.714285714285714
IGH,EUR,P28_I123_S1,P28_I132_S1,0.429752066115702,0.75
IGH,EUR,P28_I124_S1,P28_I132_S1,0.388429752066116,0.762886597938144
IGH,EUR,P28_I125_S1,P28_I132_S1,0.256637168141593,0.857142857142857
IGH,EUR,P28_I126_S1,P28_I132_S1,0.344,0.836734693877551
IGH,EUR,P28_I127_S1,P28_I132_S1,0.376,0.795918367346939
IGH,EUR,P28_I128_S1,P28_I132_S1,0.445378151260504,0.758620689655172
IGH,EUR,P28_I129_S1,P28_I132_S1,0.368421052631579,0.818181818181818
IGH,EUR,P28_I12_S1,P28_I132_S1,0.31304347826087,0.822916666666667
IGH,EUR,P28_I130_S1,P28_I132_S1,0.4,0.765957446808511
IGH,EUR,P28_I131_S1,P28_I132_S1,0.384615384615385,0.791208791208791
IGH,EUR,P28_I100_S1,P28_I134_S1,0.346774193548387,0.801980198019802
IGH,EUR,P28_I101_S1,P28_I134_S1,0.351351351351351,0.878048780487805
IGH,EUR,P28_I107_S1,P28_I134_S1,0.290909090909091,0.896551724137931
IGH,EUR,P28_I109_S1,P28_I134_S1,0.330434782608696,0.846153846153846
IGH,EUR,P28_I10_S1,P28_I134_S1,0.433823529411765,0.762376237623762
IGH,EUR,P28_I116_S1,P28_I134_S1,0.384,0.762376237623762
IGH,EUR,P28_I117_S1,P28_I134_S1,0.377049180327869,0.783505154639175
IGH,EUR,P28_I118_S1,P28_I134_S1,0.310344827586207,0.842105263157895
IGH,EUR,P28_I119_S1,P28_I134_S1,0.398305084745763,0.806818181818182
IGH,EUR,P28_I120_S1,P28_I134_S1,0.352,0.801980198019802
IGH,EUR,P28_I123_S1,P28_I134_S1,0.364406779661017,0.815217391304348
IGH,EUR,P28_I124_S1,P28_I134_S1,0.293103448275862,0.845360824742268
IGH,EUR,P28_I125_S1,P28_I134_S1,0.333333333333333,0.808080808080808
IGH,EUR,P28_I126_S1,P28_I134_S1,0.292682926829268,0.861386138613861
IGH,EUR,P28_I127_S1,P28_I134_S1,0.365079365079365,0.792079207920792
IGH,EUR,P28_I128_S1,P28_I134_S1,0.459016393442623,0.758620689655172
IGH,EUR,P28_I129_S1,P28_I134_S1,0.342105263157895,0.852272727272727
IGH,EUR,P28_I12_S1,P28_I134_S1,0.371900826446281,0.791666666666667
IGH,EUR,P28_I130_S1,P28_I134_S1,0.44,0.74468085106383
IGH,EUR,P28_I131_S1,P28_I134_S1,0.439024390243902,0.758241758241758
IGH,EUR,P28_I132_S1,P28_I134_S1,0.420634920634921,0.744897959183674
IGH,EUR,P28_I100_S1,P28_I135_S1,0.41044776119403,0.759615384615385
IGH,EUR,P28_I101_S1,P28_I135_S1,0.447154471544715,0.829268292682927
IGH,EUR,P28_I107_S1,P28_I135_S1,0.352941176470588,0.885057471264368
IGH,EUR,P28_I109_S1,P28_I135_S1,0.412698412698413,0.813186813186813
IGH,EUR,P28_I10_S1,P28_I135_S1,0.362962962962963,0.788990825688074
IGH,EUR,P28_I116_S1,P28_I135_S1,0.359375,0.811881188118812
IGH,EUR,P28_I117_S1,P28_I135_S1,0.451127819548872,0.752577319587629
IGH,EUR,P28_I118_S1,P28_I135_S1,0.380952380952381,0.821052631578947
IGH,EUR,P28_I119_S1,P28_I135_S1,0.385245901639344,0.852272727272727
IGH,EUR,P28_I120_S1,P28_I135_S1,0.328125,0.819047619047619
IGH,EUR,P28_I123_S1,P28_I135_S1,0.338842975206612,0.869565217391304
IGH,EUR,P28_I124_S1,P28_I135_S1,0.338709677419355,0.845360824742268
IGH,EUR,P28_I125_S1,P28_I135_S1,0.4,0.787878787878788
IGH,EUR,P28_I126_S1,P28_I135_S1,0.283464566929134,0.834862385321101
IGH,EUR,P28_I127_S1,P28_I135_S1,0.139130434782609,0.942857142857143
IGH,EUR,P28_I128_S1,P28_I135_S1,0.295652173913043,0.931034482758621
IGH,EUR,P28_I129_S1,P28_I135_S1,0.358333333333333,0.875
IGH,EUR,P28_I12_S1,P28_I135_S1,0.423076923076923,0.78125
IGH,EUR,P28_I130_S1,P28_I135_S1,0.450381679389313,0.765957446808511
IGH,EUR,P28_I131_S1,P28_I135_S1,0.4375,0.791208791208791
IGH,EUR,P28_I132_S1,P28_I135_S1,0.3828125,0.806122448979592
IGH,EUR,P28_I134_S1,P28_I135_S1,0.372093023255814,0.801980198019802
IGH,EUR,P28_I100_S1,P28_I136_S1,0.407692307692308,0.747572815533981
IGH,EUR,P28_I101_S1,P28_I136_S1,0.531746031746032,0.719512195121951
IGH,EUR,P28_I107_S1,P28_I136_S1,0.303571428571429,0.896551724137931
IGH,EUR,P28_I109_S1,P28_I136_S1,0.355932203389831,0.835164835164835
